GENEID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj
LOC_Os01g10100,38.39490785,-0.476917559,0.689418955,-0.691787609,0.489070719,0.641602071,0.192734243
LOC_Os01g10150,616.3380808,-0.302874613,0.219850447,-1.377637587,0.16831521,0.299270251,0.523936453
LOC_Os01g10280,245.9143715,-0.26618324,0.399928908,-0.665616514,0.505656248,0.655694693,0.183298331
LOC_Os01g10290,237.8100946,-0.145529,0.361498909,-0.402559165,0.687272555,0.802949063,0.095312004
LOC_Os01g10340,37.28414015,-0.169495859,0.925433158,-0.183019113,0.854783022,0.915710099,0.038241996
LOC_Os01g10350,127.9708927,1.070750744,0.492185853,2.175379478,0.029601691,0.07276042,1.1381048
LOC_Os01g10430,206.3991592,0.22215853,0.364124594,0.610107614,0.541790523,0.686221481,0.163535691
LOC_Os01g10450,73.3878683,-0.936612738,0.579122907,-1.617094412,0.105857903,0.208901425,0.680058598
LOC_Os01g10504,10.99470603,0.062671707,1.124978826,0.05567073,0.955604117,0.977372677,0.009939806
LOC_Os01g10520,135.2067015,0.578444982,0.452028507,1.279573273,0.200695254,0.341753114,0.46628752
LOC_Os01g10600,20.51448803,0.241314366,0.996637481,0.242187585,0.808634814,0.888085884,0.051545033
LOC_Os01g10610,706.8955061,0.511456707,0.231835419,2.206130351,0.027374874,0.068041545,1.167225835
LOC_Os01g10630,14.43052612,-0.129755583,1.005342693,-0.129100794,0.897277894,0.941618202,0.026125155
LOC_Os01g10690,24.19860196,-0.478960143,0.860283268,-0.556272377,0.578024668,0.715866218,0.145168131
LOC_Os01g10790,86.28483335,0.060468626,0.551496939,0.109619951,0.912710787,0.951279437,0.021691891
LOC_Os01g10820,45.87894661,0.381142565,0.63826532,0.597147027,0.550409223,0.693029803,0.159248089
