"","BSS_0_1","BSS_0_2","BSS_0_3","M_0_1","M_0_2","M_0_3"
"LOC_Os11g02610",6142.37647084089,6413.19575569157,5689.50405418178,15733.9431586832,16405.2531081005,15672.6014138507
"LOC_Os11g02620",55.5319592733134,87.875146059542,47.7838879703858,79.3196966408898,75.6401853118319,138.745364831313
"LOC_Os11g02630",37.9242648695799,60.8366395796829,9.12725949996134,228.044127842558,215.101776980522,163.119550544923
"LOC_Os11g02640",316.938499267203,336.291424343247,360.795199057295,39.6598483204449,9.45502316397898,17.8119049445605
"LOC_Os11g02660",51.4686451801441,84.4953327495596,66.5753045879533,220.332490669138,241.891009278462,313.114539551748
"LOC_Os11g02730",100.228414298175,77.7357061295948,18.2545189999227,123.386194774717,148.916614832669,109.683835711241
"LOC_Os11g02750",120.544984764022,99.7044926444803,98.2522640289956,0,0.787918596998249,0
"LOC_Os11g02760",18.96213243479,67.5962661996477,23.6234951763705,17.6265992535311,1.5758371939965,0
"LOC_Os11g02800",18.96213243479,0,24.6972904116601,5.50831226672846,41.7596856409072,2.81240604387797
"LOC_Os11g02820",43.3420169938056,153.781505604198,23.6234951763705,3.30498736003707,0.787918596998249,16.8744362632678
"LOC_Os11g02830",82.6207198944419,106.464119264445,27.381778499884,47.3714854938647,61.4576505658634,65.6228076904861
"LOC_Os11g02840",14.8988183416207,54.0770129597181,10.2010547352509,69.4047345607786,111.096522176753,14.9994989006825
"LOC_Os11g03050",39.2787029006363,133.502625744304,97.7153664113508,163.046043095162,178.857521518602,169.681831313971
"LOC_Os11g03060",144.924869323037,49.0072929947446,121.338861587721,11.0166245334569,48.8509530138914,5.62481208775595
"LOC_Os11g03110",54.177521242257,5.06971996497358,25.7710856469497,14.321611893494,14.1825347459685,5.62481208775595
"LOC_Os11g03160",43.3420169938056,6.75962661996477,0.536897617644784,13.2199494401483,0,37.4987472517063
"LOC_Os11g03200",46.0508930559185,67.5962661996477,116.506783028918,15.4232743468397,130.006568504711,35.623809889121
"LOC_Os11g03230",17.6076944037335,30.4183197898415,23.6234951763705,0,0,0
"LOC_Os11g03260",153.051497509376,133.502625744304,69.2597926761772,213.722515949064,293.105718083349,137.807896150021
"LOC_Os11g03280",55.5319592733134,27.0385064798591,33.2876522939766,27.5415613336423,22.8496393129492,64.6853390091934
"LOC_Os11g03310",16.2532563726771,33.7981330998238,4.83207855880306,6.60997472007415,130.006568504711,0.937468681292658
"LOC_Os11g03380",174.722506006279,168.990665499119,275.428477851774,143.21611893494,143.401184653681,154.682332413289
"LOC_Os11g03390",274.950920304454,170.68057215411,89.1250045290342,1272.42013361427,1258.3059994062,1143.71179117704
"LOC_Os11g03400",1145.85457427374,1262.36027127842,1283.18530617103,806.416915849046,755.61393452132,1158.71129007773
"LOC_Os11g03410",25.7343225900721,8.44953327495596,46.1731951174515,41.8631732271363,40.1838484469107,64.6853390091934
"LOC_Os11g03420",452.382302372846,557.669196147093,388.176977557179,18.7282617068768,0,14.9994989006825
"LOC_Os11g03460",1.35443803105643,28.7284131348503,20.4021094705018,3.30498736003707,0.787918596998249,17.8119049445605
"LOC_Os11g03470",195.039076472125,243.346558318732,315.695799175133,186.180954615422,230.072230323489,271.865917574871
"LOC_Os11g03530",33.8609507764106,27.0385064798591,49.3945808233202,4.40664981338277,23.6375579099475,0
"LOC_Os11g03550",66.3674635217648,160.541132224163,63.3539188820846,93.6413085343838,8.66710456698073,59.9979956027301
"LOC_Os11g03570",62.3041494285955,70.9760795096301,93.9570830878373,58.3881100273217,44.9113600289002,93.7468681292658
"LOC_Os11g03580",105.646166422401,28.7284131348503,41.8780141762932,334.90538581709,241.891009278462,259.678824718066
"LOC_Os11g03620",28.4431986521849,74.3558928196124,45.6362974998067,25.3382364269509,7.87918596998249,53.4357148336815
"LOC_Os11g03630",0,49.0072929947446,2.68448808822392,26.4398988802966,8.66710456698073,41.248621976877
"LOC_Os11g03660",71.7852156459905,84.4953327495596,64.9646117350189,146.521106294977,120.551545340732,163.119550544923
"LOC_Os11g03670",147.63374538515,79.425612784586,68.7228950585324,127.7928445881,135.521998683699,71.247619778242
"LOC_Os11g03710",36.5698268385235,104.774212609454,69.796690293822,27.5415613336423,5.51543017898774,56.2481208775595
"LOC_Os11g03720",6.77219015528213,21.9687865148855,42.9518094115828,0,12.606697551972,10.3121554942192
"LOC_Os11g03730",83.9751579254983,168.990665499119,132.613711558262,28.643223786988,131.582405698708,88.1220560415099
"LOC_Os11g03734",8.12662818633855,3.37981330998238,34.3614475292662,27.5415613336423,26.7892322979405,10.3121554942192
"LOC_Os11g03760",157.114811602545,136.882439054287,151.405128175829,231.349115202595,215.101776980522,259.678824718066
"LOC_Os11g03780",28.4431986521849,96.3246793344979,70.8704855291115,449.478280965042,310.43992721731,422.798375262989
"LOC_Os11g03794",93.4562241428933,104.774212609454,143.351663911157,0,44.1234414319019,0
"LOC_Os11g03890",331.837317608824,319.392357793335,292.609201616408,233.552440109287,322.258706172284,371.237597791893
"LOC_Os11g03900",16.2532563726771,18.5889732049031,57.9849427056367,38.5581858670992,38.6080112529142,4.68734340646329
"LOC_Os11g03920",31.1520747142978,3.37981330998238,32.2138570586871,45.1681605871734,32.3046624769282,25.3116543949018
"LOC_Os11g03970",119.190546732965,189.269545359013,374.217639498415,42.964835680482,112.67235937075,14.0620302193899
"LOC_Os11g03990",75.8485297391598,125.053092469348,76.7763593232042,39.6598483204449,26.0013137009422,89.0595247228025
"LOC_Os11g04070",6.77219015528213,57.4568262697005,30.6031642057527,1.10166245334569,1.5758371939965,0
"LOC_Os11g04104",12.1899422795078,25.3485998248679,26.3079832645944,11.0166245334569,53.5784645958809,16.8744362632678
"LOC_Os11g04174",43.3420169938056,55.7669196147093,63.8908164997293,60.591434934013,61.4576505658634,45.9359653833402
"LOC_Os11g04200",146.279307354094,304.183197898415,203.484197087373,226.942465389212,234.799741905478,206.243109884385
"LOC_Os11g04210",98.873976267119,42.2476663747798,54.763556999768,37.4565234137535,58.3059761778704,34.6863412078283
"LOC_Os11g04220",44.696455024862,8.44953327495596,7.51656664702698,37.4565234137535,11.0308603579755,37.4987472517063
"LOC_Os11g04290",8.12662818633855,28.7284131348503,7.51656664702698,9.91496208011123,44.1234414319019,8.43721813163392
"LOC_Os11g04320",93.4562241428933,94.6347726795068,51.5421712938993,1.10166245334569,0,0
"LOC_Os11g04330",40.6331409316928,3.37981330998238,18.7914166175675,0,0,0
"LOC_Os11g04370",88.0384720186676,140.262252364269,61.2063284115054,4.40664981338277,8.66710456698073,21.5617796697311
"LOC_Os11g04390",74.4940917081034,111.533839229419,76.2394617055594,164.147705548508,141.825347459685,197.805891752751
"LOC_Os11g04409",25403.8397104943,22866.1269486858,23546.7188170473,2302.4745274925,2201.44456001311,2317.42258015545
